NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
19835,경기도 부천시 원미구 약대동,209,0209,0000,부천위브트레지움2단지,84.98,202503,15,"74,800",210,13,개인,개인,2012,도약로 206,-,중개거래,경기 부천시 원미구,2025.6.16
19836,경기도 의정부시 신곡동,725-3,0725,0003,장암주공5,49.76,202503,15,"21,750",509,18,개인,개인,1999,회룡로 221,-,중개거래,경기 의정부시,2025.5.15
19837,경기도 안양시 만안구 석수동,786,0786,0000,코오롱하늘채,121.784,202503,15,"60,250",103,3,개인,개인,2010,충훈로 92,-,중개거래,경기 안양시 만안구,2025.7.11
19838,경기도 의정부시 신곡동,817,0817,0000,e편한세상신곡포레스타뷰,84.9953,202503,15,"51,000",104동,3,개인,개인,2020,금신로 276,-,중개거래,경기 의정부시,2025.5.30
19839,경기도 의정부시 신곡동,817,0817,0000,e편한세상신곡포레스타뷰,84.4068,202503,15,"50,700",103동,2,개인,개인,2020,금신로 276,-,중개거래,경기 의정부시,2025.6.30
19840,경기도 의정부시 신곡동,725-2,0725,0002,장암현대1,74.52,202503,15,"32,500",102,14,개인,개인,1998,동일로 451-25,-,중개거래,경기 의정부시,2025.4.25
19841,경기도 안양시 만안구 안양동,815-13,0815,0013,미래엠피아,68.89,202503,15,"30,000",-,10,개인,개인,2003,만안로 272,-,중개거래,경기 안양시 만안구,2025.5.19
19842,경기도 의정부시 신곡동,722-1,0722,0001,장암동신,96.53,202503,15,"39,300",201,9,개인,개인,1998,신곡로 35,-,중개거래,경기 의정부시,2025.5.13
19843,경기도 의정부시 신곡동,816,0816,0000,e편한세상신곡파크비스타,72.9453,202503,15,"44,500",113,2,개인,개인,2019,시민로 287,-,중개거래,경기 의정부시,2025.5.15
19844,경기도 안양시 만안구 안양동,Jan.90,0090,0001,삼성래미안,55.1685,202503,15,"59,000",101,16,개인,개인,2002,안양천서로 311,-,중개거래,경기 안양시 만안구,2025.7.15
19845,경기도 의정부시 민락동,895,0895,0000,민락센트럴15단지,74.96,202503,15,"34,000",1508,14,개인,개인,2013,용민로 442,-,중개거래,"경기 의정부시, 서울 동대문구",2025.5.30
19846,경기도 안양시 동안구 호계동,766-4,0766,0004,호계삼익,84.96,202503,15,"43,000",-,4,개인,개인,1996,경수대로 480,-,중개거래,경기 안양시 동안구,2025.4.10
19847,경기도 안양시 만안구 안양동,708-196,0708,0196,수리산성원상떼빌2차,59.923,202503,15,"43,500",605,21,개인,개인,2007,삼덕로63번길 32,-,중개거래,경기 안양시 만안구,2025.6.2
19848,경기도 의정부시 산곡동,733,0733,0000,고산수자인디에스티지아트포레,79.9971,202503,15,"58,500",3010동,13,개인,개인,2023,문화로 38,-,중개거래,경기 의정부시,2025.7.1
19849,경기도 안양시 동안구 호계동,1296,1296,0000,평촌어바인퍼스트,39.26,202503,15,"41,000",101,10,개인,개인,2021,경수대로 581,-,중개거래,경기 안양시 동안구,2025.4.10
19850,경기도 안양시 동안구 호계동,811,0811,0000,호계2차현대홈타운,84.973,202503,15,"58,500",211,1,개인,개인,2003,경수대로 462,-,중개거래,경기 안양시 동안구,2025.6.18
19851,경기도 안양시 동안구 호계동,1296,1296,0000,평촌어바인퍼스트,59.87,202503,15,"78,300",104,15,개인,개인,2021,경수대로 581,-,중개거래,경기 안양시 동안구,2025.6.27
19852,경기도 안양시 만안구 안양동,861-19,0861,0019,뉴데시앙,73.52,202503,15,"37,500",-,3,개인,개인,2019,만안로 298,-,중개거래,경기 안양시 만안구,2025.3.20
19853,경기도 광주시 쌍령동,337,0337,0000,동성1,134.76,202503,15,"36,800",102동,16,개인,개인,2001,경충대로1422번길 25,-,중개거래,경기 광주시,2025.5.16
19854,경기도 양주시 옥정동,1097,1097,0000,양주옥정유림노르웨이숲,84.9903,202503,15,"40,000",110동,28,개인,개인,2023,옥정로2길 229,-,중개거래,경기 양주시,2025.4.14
19855,경기도 양주시 옥정동,176,0176,0000,세창리베하우스,84.9862,202503,15,"22,100",111,7,개인,개인,2003,새터로 37,-,중개거래,경기 양주시,2025.4.17
19856,경기도 양주시 옥정동,1097,1097,0000,양주옥정유림노르웨이숲,75.9964,202503,15,"38,000",104동,8,개인,개인,2023,옥정로2길 229,-,중개거래,경기 양주시,2025.5.2
19857,경기도 화성시 동탄구 석우동,56,0056,0000,신일유토빌,128.379,202503,15,"83,500",135,7,개인,개인,2008,동탄반석로 232,-,직거래,-,2025.4.11
19858,경기도 화성시 동탄구 석우동,53,0053,0000,우미린제일풍경채,75.8689,202503,15,"60,500",122,16,개인,개인,2008,동탄반석로 277,-,중개거래,경기 화성시,2025.5.19
